bin,python,vulkan,diff,rel_diff
192,3.9138004054e-03,3.9139400000e-03,-1.3959455844e-07,-3.5667265557e-05
193,8.7125719607e-03,8.7229800000e-03,-1.0408039301e-05,-1.1946000960e-03
194,1.3132372128e-02,1.3132600000e-02,-2.2787222597e-07,-1.7351947062e-05
195,1.6996219682e-02,1.7065200000e-02,-6.8980318438e-05,-4.0585683008e-03
196,1.9984770467e-02,1.9984900000e-02,-1.2953309616e-07,-6.4815903876e-06
197,2.1376363314e-02,2.1376500000e-02,-1.3668561506e-07,-6.3942408275e-06
198,2.0538911473e-02,2.0643600000e-02,-1.0468852671e-04,-5.0970825225e-03
199,1.7152934791e-02,1.7153200000e-02,-2.6520873692e-07,-1.5461420459e-05
200,1.1202111814e-02,1.1202300000e-02,-1.8818600320e-07,-1.6799154151e-05
201,3.4766634631e-03,3.4768700000e-03,-2.0653691799e-07,-5.9406646666e-05
202,4.8215828834e-03,4.8168200000e-03,4.7628833935e-06,9.8782568042e-04
203,1.2289410917e-02,1.2299000000e-02,-9.5890827578e-06,-7.8027196109e-04
204,1.7677872112e-02,1.7705200000e-02,-2.7327888219e-05,-1.5458810905e-03
205,2.0212797765e-02,2.0262100000e-02,-4.9302234758e-05,-2.4391593548e-03
206,1.9788762566e-02,1.9788700000e-02,6.2565959878e-08,3.1616913724e-06
207,1.6977305446e-02,1.6977400000e-02,-9.4553658923e-08,-5.5694149591e-06
208,1.2847110425e-02,1.2846900000e-02,2.1042511638e-07,1.6379178617e-05
209,8.6021433932e-03,8.5337900000e-03,6.8353393249e-05,7.9460885638e-03
210,5.3829656953e-03,5.1174100000e-03,2.6555569526e-04,4.9332600325e-02
211,3.2273230288e-03,3.2270100000e-03,3.1302880541e-07,9.6993329308e-05
212,1.3221912284e-03,1.3223300000e-03,-1.3877160383e-07,-1.0495577398e-04
213,4.1994952268e-04,5.7351300000e-04,-1.5356347732e-04,-3.6567127397e-01
214,2.6204956057e-03,2.6203400000e-03,1.5560567272e-07,5.9380245603e-05
215,3.9563850371e-03,3.6831300000e-03,2.7325503713e-04,6.9066846250e-02
216,5.0862570238e-03,5.0860000000e-03,2.5702381497e-07,5.0532997785e-05
217,6.8753232683e-03,6.6517600000e-03,2.2356326834e-04,3.2516764607e-02
218,1.0949970011e-02,1.0950100000e-02,-1.2998916963e-07,-1.1871189554e-05
219,1.6661331885e-02,1.6661200000e-02,1.3188461182e-07,7.9156103922e-06
220,2.2482310307e-02,2.2657500000e-02,-1.7518969273e-04,-7.7923349661e-03
221,2.6744735885e-02,2.6924600000e-02,-1.7986411511e-04,-6.7252156043e-03
222,2.8002480300e-02,2.8001500000e-02,9.8029975375e-07,3.5007604442e-05
223,2.4802926864e-02,2.4802900000e-02,2.6864212636e-08,1.0831065536e-06
224,1.6654391095e-02,1.6709200000e-02,-5.4808904962e-05,-3.2909582011e-03
225,3.6718829597e-03,3.7014000000e-03,-2.9517040328e-05,-8.0386658955e-03
226,1.3289616344e-02,1.3281400000e-02,8.2163440924e-06,6.1825291860e-04
227,3.2735327982e-02,3.2746100000e-02,-1.0772018494e-05,-3.2906401609e-04
228,5.2744098771e-02,5.2779100000e-02,-3.5001228884e-05,-6.6360464391e-04
229,7.1237684095e-02,7.1305300000e-02,-6.7615905289e-05,-9.4915922867e-04
230,8.6271190207e-02,8.6381900000e-02,-1.1070979281e-04,-1.2832765208e-03
231,9.6292726036e-02,9.6454400000e-02,-1.6167396441e-04,-1.6789841878e-03
232,1.0033495825e-01,1.0033500000e-01,-4.1749610935e-08,-4.1610234023e-07
233,9.8114751179e-02,9.8114900000e-02,-1.4882078983e-07,-1.5168034168e-06
234,9.0033864971e-02,9.0033700000e-02,1.6497110231e-07,1.8323227861e-06
235,7.6999637421e-02,7.7350300000e-02,-3.5066257948e-04,-4.5540809181e-03
236,6.0597122645e-02,6.0597500000e-02,-3.7735457949e-07,-6.2272689364e-06
237,4.2437251621e-02,4.2437600000e-02,-3.4837920000e-07,-8.2092780913e-06
238,2.3981849181e-02,2.4243600000e-02,-2.6175081851e-04,-1.0914538596e-02
239,7.2319956469e-03,7.2320800000e-03,-8.4353104703e-08,-1.1663876585e-05
240,6.8456536703e-03,6.8456600000e-03,-6.3297221171e-09,-9.2463370498e-07
241,1.7651914472e-02,1.7671700000e-02,-1.9785527811e-05,-1.1208714976e-03
242,2.4423535461e-02,2.4423700000e-02,-1.6453868232e-07,-6.7368904299e-06
243,2.7572856888e-02,2.7756100000e-02,-1.8324311244e-04,-6.6457789695e-03
244,2.7325358435e-02,2.7584000000e-02,-2.5864156519e-04,-9.4652579143e-03
245,2.4564556714e-02,2.4564600000e-02,-4.3285704954e-08,-1.7621203369e-06
246,2.0017193271e-02,2.0265300000e-02,-2.4810672877e-04,-1.2394681182e-02
247,1.4819534343e-02,1.4819600000e-02,-6.5657243743e-08,-4.4304525513e-06
248,9.6544785439e-03,9.6543200000e-03,1.5854389728e-07,1.6421798085e-05
249,5.6191750356e-03,5.4007000000e-03,2.1847503555e-04,3.8880268746e-02
250,4.0102725338e-03,3.4762400000e-03,5.3403253382e-04,1.3316614499e-01
251,4.1959457071e-03,4.1958500000e-03,9.5707071533e-08,2.2809416087e-05
252,4.6620159802e-03,4.6619000000e-03,1.1598021217e-07,2.4877695107e-05
253,4.3109074539e-03,4.0875300000e-03,2.2337745386e-04,5.1816805672e-02
254,3.2034440084e-03,3.0510600000e-03,1.5238400839e-04,4.7568806554e-02
255,1.6459968788e-03,1.5466700000e-03,9.9326878839e-05,6.0344512226e-02
256,7.2564155840e-05,6.3850200000e-05,8.7139558400e-06,1.2008622741e-01
257,1.3916517156e-03,1.4116900000e-03,-2.0038284404e-05,-1.4398921918e-02
258,2.2793972821e-03,2.2654900000e-03,1.3907282097e-05,6.1012980055e-03
259,2.5671993728e-03,2.5105200000e-03,5.6679372787e-05,2.2078290204e-02
260,2.4428851292e-03,2.3285500000e-03,1.1433512918e-04,4.6803317833e-02
261,2.6714386914e-03,2.5318500000e-03,1.3958869139e-04,5.2252253359e-02
